SKU ID,Product Name,Category,Supplier,Warehouse,Opening Stock,Received Qty,Sold Qty,Closing Stock,Reorder Level,Unit Cost,Date
SKU10051,Logitech Keyboard,Electronic,NextGen Systems,Mumbai WH,159,261,242,178,41,40939.33,28-08-2024
SKU10052,Canon Printer,Electronics,TechNova Pvt Ltd,Pune WH,394,158,230,322,45,49198.41,17-09-2025
SKU10053,Office Desk,electronics,,Delhi WH,485,37,466,56,73,20042.68,31-05-2024
SKU10054,Lenovo Tablet,electronics,Global Traders,Bengaluru WH,385,2,384,3,33,23281.04,24-07-2025
SKU10055,APC UPS,office supplies,NextGen Systems,Delhi WH,177,62,233,6,37,30671.35,31-05-2025
SKU10056,Cisco Switch,IT Equipment,Apex Distributors,Pune WH,268,280,456,92,40,42009.16,10-10-2024
SKU10057,Samsung SSD,Electronic,,Mumbai WH,442,266,496,212,100,35705.89,28-08-2024
SKU10058,Logitech Keyboard,electronics,Global Traders,Pune WH,189,171,163,197,89,19213.46,05-06-2024
SKU10059,Lenovo Tablet,Electronic,,Delhi WH,411,109,65,455,73,3207.06,06-03-2025
SKU10059,HP Scanner,IT Equipment,TechNova Pvt Ltd,Nagpur WH,249,299,20,528,93,15000.77,03-02-2025
SKU10061,LG LED Screen,electronics,,Pune WH,486,214,551,149,89,13719.47,12-05-2025
SKU10062,TP-Link Router,IT Equipment,Global Traders,Bengaluru WH,64,199,172,91,71,26752.77,07-02-2025
SKU10063,Logitech Keyboard,office supplies,,Pune WH,353,288,678,-37,23,43355.88,05-07-2024
SKU10064,JBL Headset,IT Equipment,NextGen Systems,Nagpur WH,75,133,194,14,61,38085.36,23-01-2025
SKU10065,Cisco Switch,Electronics,TechNova Pvt Ltd,Nagpur WH,192,215,129,278,30,11288.69,11-03-2024
SKU10066,JBL Headset,Electronics,Global Traders,Pune WH,449,20,31,438,51,6398.43,16-11-2025
SKU10067,Seagate Hard Drive,Electronic,Global Traders,Bengaluru WH,108,288,111,285,79,30401.65,27-04-2024
SKU10068,Office Desk,Electronics,Apex Distributors,Bengaluru WH,448,83,318,213,33,33899.63,19-01-2025
SKU10069,Samsung SSD,Electronics,Apex Distributors,Bengaluru WH,253,101,38,316,95,40295.85,02-08-2025
SKU10070,Lenovo Tablet,office supplies,NextGen Systems,Mumbai WH,450,21,355,116,88,25347.44,15-12-2024
SKU10071,Lenovo Tablet,Electronic,,Pune WH,56,215,250,21,33,21830.81,18-06-2025
SKU10072,APC UPS,IT Equipment,Apex Distributors,Nagpur WH,383,138,551,-30,81,42600.49,29-03-2024
SKU10073,Office Desk,Office Supplies,,Nagpur WH,192,230,124,298,79,1532.13,28-11-2024
SKU10074,Seagate Hard Drive,Electronic,Apex Distributors,Bengaluru WH,143,249,108,284,65,35089.07,09-10-2024
SKU10075,Logitech Keyboard,electronics,,Delhi WH,-334,5,264,-593,44,27803.29,03-09-2024
SKU10076,APC UPS,Electronics,Prime Supplies,Nagpur WH,403,243,661,-15,82,11157.66,09-12-2025
SKU10077,Epson Projector,IT Equipment,NextGen Systems,Delhi WH,174,156,339,-9,94,49831.91,17-07-2025
SKU10078,Seagate Hard Drive,Electronic,Apex Distributors,Pune WH,219,180,359,40,78,6120.73,16-07-2024
SKU10079,JBL Headset,electronics,,Nagpur WH,211,61,274,-2,43,36256.79,21-06-2025
SKU10080,Logitech Webcam,electronics,NextGen Systems,Pune WH,355,144,102,397,44,15183.15,26-12-2025
SKU10081,HP Monitor,Office Supplies,Apex Distributors,Pune WH,323,64,140,247,25,31929.7,17-05-2025
SKU10082,Cisco Switch,IT Equipment,,Nagpur WH,102,6,146,-38,56,9299.75,22-02-2024
SKU10083,HP Scanner,IT Equipment,Prime Supplies,Bengaluru WH,179,244,58,365,28,31509.34,24-02-2024
SKU10084,Logitech Webcam,Electronics,Vertex Solutions,Mumbai WH,127,76,207,-4,92,27947.84,02-03-2025
SKU10085,APC UPS,Electronic,,Nagpur WH,360,115,389,86,77,28474.61,02-03-2024
SKU10086,JBL Headset,Electronic,Prime Supplies,Pune WH,362,50,390,22,46,12069.27,19-07-2025
SKU10087,APC UPS,office supplies,,Nagpur WH,88,80,0,168,72,1728.73,22-10-2024
SKU10088,Samsung SSD,Electronic,Vertex Solutions,Delhi WH,411,144,464,91,29,5827.34,18-08-2024
SKU10089,Canon Printer,Electronics,TechNova Pvt Ltd,Pune WH,381,76,465,-8,54,39652.17,01-09-2025
SKU10090,Dell Mouse,IT Equipment,Apex Distributors,Delhi WH,433,291,295,429,76,47139.54,27-05-2025
SKU10091,LG LED Screen,Electronics,,Nagpur WH,326,252,448,130,30,30225.31,27-01-2024
SKU10092,Office Desk,Electronics,Global Traders,Delhi WH,96,117,10,203,54,25996.3,28-03-2025
SKU10093,Cisco Switch,Electronics,,Nagpur WH,192,92,299,-15,75,20476.57,24-11-2024
SKU10094,Office Chair,IT Equipment,,Nagpur WH,393,53,439,7,40,33162.92,14-02-2025
SKU10095,Logitech Keyboard,Electronic,Apex Distributors,Nagpur WH,466,281,37,710,78,5884.49,17-02-2025
SKU10096,APC UPS,IT Equipment,TechNova Pvt Ltd,Pune WH,492,263,1,754,89,25970.13,29-09-2025
SKU10097,HP Monitor,electronics,Apex Distributors,Bengaluru WH,437,255,640,52,76,6637.56,21-10-2024
SKU10098,LG LED Screen,electronics,Global Traders,Nagpur WH,274,248,124,398,23,27586.87,19-07-2025
SKU10099,APC UPS,Electronics,Global Traders,Delhi WH,258,47,115,190,34,46639.39,25-10-2024
SKU10100,Cisco Switch,IT Equipment,Vertex Solutions,Delhi WH,310,139,212,237,,27608.13,27-01-2025
SKU10101,Logitech Keyboard,Electronic,,Nagpur WH,147,260,382,25,37,46718.99,03-06-2025
SKU10102,Office Desk,Office Supplies,,Pune WH,186,1,72,115,58,22382.71,10-05-2025
SKU10103,HP Scanner,IT Equipment,NextGen Systems,Pune WH,226,170,282,114,89,49040.65,01-09-2024
SKU10104,HP Monitor,Electronic,,Delhi WH,342,196,239,299,72,19365.33,10-11-2025
SKU10105,Canon Printer,Office Supplies,NextGen Systems,Mumbai WH,455,77,507,25,24,43722.1,26-03-2025
SKU10106,Canon Printer,IT Equipment,Global Traders,Mumbai WH,101,269,233,137,21,23527.58,28-09-2024
SKU10107,Office Chair,office supplies,,Nagpur WH,223,203,332,94,30,31377.28,14-05-2025
SKU10108,Logitech Keyboard,electronics,Apex Distributors,Pune WH,496,277,36,737,99,37363.64,20-03-2025
SKU10109,Logitech Webcam,Electronics,TechNova Pvt Ltd,Nagpur WH,100,51,113,38,41,39827.56,27-10-2024
SKU10110,Samsung SSD,Office Supplies,,Bengaluru WH,233,191,220,204,38,34121.84,03-07-2024
SKU10111,HP Scanner,Office Supplies,Vertex Solutions,Delhi WH,137,89,40,186,98,45650.17,26-05-2024
SKU10112,APC UPS,Electronic,TechNova Pvt Ltd,Delhi WH,168,236,326,78,52,45070.35,24-11-2025
SKU10113,Epson Projector,Office Supplies,Apex Distributors,Delhi WH,329,80,37,372,76,34546.64,12-04-2025
SKU10114,Cisco Switch,Electronics,Vertex Solutions,Delhi WH,482,154,203,433,69,28638.94,11-08-2025
SKU10115,Seagate Hard Drive,Electronics,TechNova Pvt Ltd,Bengaluru WH,201,151,11,341,70,37284.09,20-10-2024
SKU10116,JBL Headset,Office Supplies,Apex Distributors,Pune WH,447,117,360,204,48,31449.58,04-10-2025
SKU10117,HP Monitor,Office Supplies,NextGen Systems,Pune WH,380,20,158,242,76,4597.66,29-10-2024
SKU10118,Canon Printer,Office Supplies,NextGen Systems,Bengaluru WH,217,212,89,340,45,25139.56,06-10-2024
SKU10119,Logitech Webcam,office supplies,NextGen Systems,Mumbai WH,475,84,263,296,81,23469.74,18-03-2024
SKU10119,Epson Projector,Electronics,,Mumbai WH,122,115,203,34,91,13296.48,06-05-2024
SKU10121,HP Scanner,office supplies,NextGen Systems,Mumbai WH,282,188,268,202,94,33774.34,27-04-2025
SKU10122,Samsung SSD,office supplies,Prime Supplies,Delhi WH,62,287,167,182,98,45478.44,05-11-2024
SKU10123,HP Monitor,Electronics,Apex Distributors,Delhi WH,382,209,119,472,37,5894.41,28-08-2024
SKU10124,Epson Projector,office supplies,,Bengaluru WH,325,69,198,196,78,37139.22,07-06-2024
SKU10125,Lenovo Tablet,Electronic,TechNova Pvt Ltd,Nagpur WH,262,50,250,62,98,10941.76,31-03-2025
SKU10126,Blue Yeti Microphone,office supplies,NextGen Systems,Mumbai WH,170,185,50,305,67,19967.17,13-07-2024
SKU10127,LG LED Screen,Electronics,TechNova Pvt Ltd,Nagpur WH,112,232,46,298,47,12254.09,08-05-2024
SKU10128,Blue Yeti Microphone,electronics,Vertex Solutions,Pune WH,452,289,210,531,28,16495.12,31-05-2024
SKU10129,Canon Printer,Office Supplies,Apex Distributors,Pune WH,453,1,141,313,38,5585.32,27-01-2024
SKU10130,Office Desk,Electronic,TechNova Pvt Ltd,Pune WH,117,7,91,33,50,13341.84,09-05-2024
SKU10131,Logitech Keyboard,IT Equipment,,Nagpur WH,429,215,538,106,34,25710.57,21-04-2024
SKU10132,HP Monitor,office supplies,Apex Distributors,Delhi WH,281,257,226,312,98,32202.7,01-02-2024
SKU10133,Dell Mouse,IT Equipment,,Mumbai WH,81,245,205,121,74,44973.41,25-11-2024
SKU10134,Seagate Hard Drive,Office Supplies,NextGen Systems,Delhi WH,361,75,33,403,36,49731.93,27-06-2025
SKU10135,Lenovo Tablet,Electronics,Prime Supplies,Bengaluru WH,200,232,258,174,97,36069.91,08-08-2024
SKU10136,Office Chair,IT Equipment,,Delhi WH,270,231,233,268,72,36507.66,16-11-2024
SKU10137,Epson Projector,electronics,,Mumbai WH,268,160,340,88,52,4652.12,28-03-2024
SKU10138,Canon Printer,Office Supplies,TechNova Pvt Ltd,Bengaluru WH,97,221,49,269,67,47835.57,29-07-2025
SKU10139,Lenovo Tablet,office supplies,TechNova Pvt Ltd,Nagpur WH,218,62,210,70,65,30060.46,26-12-2024
SKU10140,Canon Printer,office supplies,,Pune WH,103,295,259,139,47,42379.01,24-12-2024
SKU10141,Seagate Hard Drive,Office Supplies,Vertex Solutions,Delhi WH,482,284,376,390,34,42273.24,28-09-2025
SKU10142,Seagate Hard Drive,Electronics,Global Traders,Nagpur WH,364,285,26,623,97,35164.67,12-11-2024
SKU10143,Canon Printer,Office Supplies,,Mumbai WH,223,179,3,399,43,7179.55,10-10-2025
SKU10144,HP Scanner,IT Equipment,,Nagpur WH,65,46,135,-24,47,7954.72,15-11-2024
SKU10145,Logitech Keyboard,Electronics,Global Traders,Pune WH,419,166,581,4,96,37746.35,20-02-2024
SKU10146,Lenovo Tablet,IT Equipment,,Delhi WH,395,41,139,297,76,13731.03,08-06-2025
SKU10147,Logitech Webcam,office supplies,,Bengaluru WH,108,176,220,64,34,33389.91,16-02-2024
SKU10148,Dell Laptop,electronics,Apex Distributors,Pune WH,162,202,306,58,27,38390.74,18-09-2024
SKU10149,Cisco Switch,office supplies,,Pune WH,198,167,61,304,20,6546.37,29-06-2025
SKU10150,Blue Yeti Microphone,office supplies,NextGen Systems,Mumbai WH,-410,117,512,-805,,19913.85,13-02-2024
SKU10151,Office Chair,Office Supplies,,Bengaluru WH,273,9,235,47,29,20280.7,17-10-2025
SKU10152,Dell Laptop,Electronic,Global Traders,Bengaluru WH,263,148,58,353,71,23058.84,07-12-2025
SKU10153,Samsung SSD,IT Equipment,,Bengaluru WH,235,45,223,57,33,4024.49,13-11-2024
SKU10154,TP-Link Router,Electronics,Prime Supplies,Bengaluru WH,431,173,226,378,62,25546.61,23-12-2024
SKU10155,Canon Printer,Electronic,Vertex Solutions,Pune WH,229,75,120,184,33,30159.71,02-11-2025
SKU10156,Cisco Switch,IT Equipment,,Bengaluru WH,88,90,197,-19,100,32185.29,01-10-2025
SKU10157,Logitech Keyboard,IT Equipment,,Nagpur WH,215,161,77,299,76,39836.85,28-08-2025
SKU10158,Logitech Webcam,IT Equipment,,Mumbai WH,78,180,259,-1,29,2938.81,20-10-2024
SKU10159,Dell Docking Station,IT Equipment,,Bengaluru WH,89,46,157,-22,96,27760.39,12-02-2024
SKU10160,LG LED Screen,IT Equipment,Global Traders,Mumbai WH,280,292,192,380,61,22581.1,17-12-2024
SKU10161,HP Monitor,electronics,,Delhi WH,415,43,258,200,42,26251.02,16-09-2025
SKU10162,HP Scanner,IT Equipment,NextGen Systems,Bengaluru WH,131,186,190,127,56,2713.04,08-10-2025
SKU10163,Dell Mouse,Office Supplies,,Nagpur WH,381,171,67,485,62,12674.59,03-11-2025
SKU10164,Office Desk,office supplies,Global Traders,Nagpur WH,358,76,170,264,30,15580.56,02-11-2025
SKU10165,Logitech Keyboard,Electronic,,Nagpur WH,407,200,132,475,96,40677.92,17-11-2025
SKU10166,Dell Docking Station,Electronic,TechNova Pvt Ltd,Nagpur WH,409,269,95,583,74,15512.42,07-08-2024
SKU10167,Canon Printer,electronics,Prime Supplies,Nagpur WH,224,248,196,276,48,42236.98,13-04-2024
SKU10168,Office Chair,Office Supplies,Global Traders,Bengaluru WH,309,276,539,46,24,18898.32,15-06-2024
SKU10169,Lenovo Tablet,Electronic,Vertex Solutions,Delhi WH,142,84,224,2,25,30568.71,04-04-2025
SKU10170,Cisco Switch,electronics,NextGen Systems,Bengaluru WH,169,273,122,320,59,49223.55,17-04-2025
SKU10171,Dell Docking Station,IT Equipment,Global Traders,Pune WH,443,144,391,196,84,40082.84,21-05-2024
SKU10172,Epson Projector,Office Supplies,Prime Supplies,Bengaluru WH,496,128,53,571,81,42573.19,18-10-2024
SKU10173,Dell Docking Station,electronics,,Mumbai WH,92,82,69,105,77,47326.02,15-08-2024
SKU10174,Lenovo Tablet,Electronics,,Bengaluru WH,468,230,357,341,23,18760.68,30-01-2025
SKU10175,Office Chair,Electronics,NextGen Systems,Pune WH,91,191,114,168,23,6966.22,20-10-2024
SKU10176,Cisco Switch,IT Equipment,TechNova Pvt Ltd,Mumbai WH,474,241,712,3,37,1048.29,08-08-2024
SKU10177,Dell Docking Station,IT Equipment,Prime Supplies,Nagpur WH,477,76,561,-8,97,11958.25,04-05-2024
SKU10178,APC UPS,Electronics,Prime Supplies,Delhi WH,74,122,107,89,99,29877.28,17-01-2024
SKU10179,Canon Printer,Electronic,,Mumbai WH,373,263,588,48,50,30779.0,03-09-2024
SKU10179,Dell Docking Station,Electronic,Prime Supplies,Bengaluru WH,342,213,191,364,30,27249.69,03-06-2025
SKU10181,HP Monitor,office supplies,,Nagpur WH,333,10,199,144,80,12757.15,17-01-2024
SKU10182,Dell Mouse,Office Supplies,NextGen Systems,Pune WH,232,34,176,90,50,2312.35,13-07-2025
SKU10183,Cisco Switch,office supplies,Global Traders,Pune WH,223,89,350,-38,79,3248.72,13-04-2025
SKU10184,JBL Headset,Electronics,NextGen Systems,Nagpur WH,68,150,103,115,25,25817.64,10-07-2025
SKU10185,Logitech Webcam,Electronic,TechNova Pvt Ltd,Nagpur WH,292,129,18,403,44,13733.51,11-01-2025
SKU10186,Office Chair,electronics,,Delhi WH,273,204,450,27,69,18430.61,15-06-2025
SKU10187,Lenovo Tablet,Office Supplies,Global Traders,Bengaluru WH,186,42,217,11,30,14758.94,15-04-2024
SKU10188,APC UPS,Office Supplies,,Pune WH,90,167,151,106,59,34519.26,25-12-2024
SKU10189,Lenovo Tablet,Electronic,TechNova Pvt Ltd,Mumbai WH,278,21,180,119,98,33592.08,19-02-2025
SKU10190,Canon Printer,Office Supplies,,Mumbai WH,236,262,163,335,23,6398.88,29-08-2024
SKU10191,Office Desk,Electronics,Global Traders,Delhi WH,448,187,370,265,69,47446.29,15-01-2025
SKU10192,Dell Docking Station,Electronic,,Nagpur WH,277,39,293,23,37,32513.08,12-09-2024
SKU10193,Dell Docking Station,IT Equipment,Prime Supplies,Nagpur WH,108,13,47,74,83,38770.73,21-12-2025
SKU10194,Cisco Switch,electronics,Prime Supplies,Pune WH,278,109,313,74,56,42656.03,07-04-2025
SKU10195,Epson Projector,office supplies,Prime Supplies,Bengaluru WH,138,227,44,321,60,27154.35,03-11-2024
SKU10196,Dell Docking Station,electronics,Prime Supplies,Pune WH,485,80,178,387,66,39624.08,30-08-2024
SKU10197,Blue Yeti Microphone,Office Supplies,NextGen Systems,Delhi WH,454,252,26,680,66,40202.72,18-07-2025
SKU10198,HP Scanner,office supplies,,Bengaluru WH,116,44,16,144,59,20598.68,23-02-2025
SKU10199,Office Chair,office supplies,Prime Supplies,Delhi WH,471,294,75,690,36,23345.08,13-06-2025
SKU10200,Office Desk,electronics,Global Traders,Delhi WH,226,65,282,9,,25192.9,26-02-2024
SKU10201,Logitech Webcam,electronics,Global Traders,Nagpur WH,475,63,530,8,39,46743.42,18-08-2024
SKU10202,Seagate Hard Drive,electronics,Apex Distributors,Pune WH,227,265,290,202,30,31288.62,21-09-2025
SKU10203,Office Desk,Office Supplies,Global Traders,Pune WH,323,47,257,113,41,32970.77,11-09-2025
SKU10204,Logitech Keyboard,Electronics,Apex Distributors,Pune WH,222,288,42,468,23,38371.25,02-03-2025
SKU10205,Blue Yeti Microphone,Electronic,Apex Distributors,Delhi WH,366,15,254,127,100,12319.41,02-12-2025
SKU10206,HP Monitor,electronics,,Delhi WH,257,152,232,177,29,24264.13,27-07-2024
SKU10207,Epson Projector,IT Equipment,Global Traders,Nagpur WH,224,73,160,137,60,25797.51,18-04-2024
SKU10208,Seagate Hard Drive,IT Equipment,Vertex Solutions,Pune WH,213,123,238,98,35,4930.9,24-10-2024
SKU10209,Office Chair,Office Supplies,NextGen Systems,Pune WH,246,214,127,333,40,38179.76,25-05-2025
SKU10210,Cisco Switch,Electronics,Prime Supplies,Delhi WH,313,239,510,42,59,25321.68,03-09-2024
SKU10211,HP Monitor,Electronic,,Bengaluru WH,160,298,180,278,26,44128.74,31-10-2025
SKU10212,Dell Laptop,Electronics,,Pune WH,394,240,292,342,88,44134.54,09-01-2025
SKU10213,HP Scanner,Electronics,Vertex Solutions,Nagpur WH,441,206,374,273,25,27705.82,16-03-2024
SKU10214,Seagate Hard Drive,Office Supplies,Prime Supplies,Pune WH,247,258,461,44,90,48756.63,07-02-2025
SKU10215,Canon Printer,electronics,,Bengaluru WH,241,173,285,129,66,2108.72,09-02-2024
SKU10216,APC UPS,electronics,Global Traders,Nagpur WH,120,170,242,48,86,46575.3,22-11-2024
SKU10217,Office Desk,Electronic,,Bengaluru WH,133,201,315,19,58,15059.55,18-01-2024
SKU10218,Lenovo Tablet,Office Supplies,Apex Distributors,Mumbai WH,238,169,344,63,34,29885.79,28-09-2024
SKU10219,HP Monitor,Office Supplies,,Pune WH,385,296,591,90,49,26259.19,26-09-2025
SKU10220,HP Monitor,Office Supplies,Prime Supplies,Pune WH,446,194,151,489,51,1044.97,17-11-2024
SKU10221,Lenovo Tablet,Office Supplies,,Mumbai WH,264,77,211,130,46,35318.18,15-06-2025
SKU10222,Dell Docking Station,IT Equipment,NextGen Systems,Pune WH,156,287,166,277,81,23037.21,29-06-2025
SKU10223,LG LED Screen,IT Equipment,Vertex Solutions,Pune WH,225,279,362,142,53,14022.42,01-11-2024
SKU10224,Cisco Switch,Electronic,,Nagpur WH,165,152,147,170,46,28068.33,07-10-2024
SKU10225,HP Scanner,IT Equipment,NextGen Systems,Pune WH,-197,62,293,-428,89,14593.59,21-10-2024
SKU10226,Seagate Hard Drive,office supplies,,Pune WH,415,40,177,278,76,10183.19,05-07-2025
SKU10227,Dell Mouse,Office Supplies,Vertex Solutions,Pune WH,188,287,278,197,37,2633.19,27-06-2025
SKU10228,Lenovo Tablet,Electronic,,Mumbai WH,165,119,26,258,32,34091.48,20-05-2024
SKU10229,Cisco Switch,IT Equipment,Vertex Solutions,Nagpur WH,52,281,80,253,72,16126.27,23-10-2025
SKU10230,Samsung SSD,Office Supplies,TechNova Pvt Ltd,Pune WH,80,45,166,-41,93,20952.46,29-06-2024
SKU10231,Logitech Webcam,Electronics,TechNova Pvt Ltd,Nagpur WH,68,203,253,18,43,28441.3,19-04-2024
SKU10232,Dell Docking Station,IT Equipment,Global Traders,Bengaluru WH,221,145,232,134,89,23454.24,16-07-2024
SKU10233,APC UPS,office supplies,Apex Distributors,Pune WH,464,57,338,183,40,802.8,11-12-2024
SKU10234,TP-Link Router,Office Supplies,,Delhi WH,454,151,581,24,44,25812.5,29-03-2024
SKU10235,Cisco Switch,Electronic,Vertex Solutions,Mumbai WH,255,48,94,209,37,13113.19,29-08-2024
SKU10236,Office Desk,office supplies,TechNova Pvt Ltd,Nagpur WH,278,136,168,246,58,32718.8,10-12-2025
SKU10237,APC UPS,Electronic,Global Traders,Delhi WH,170,31,170,31,35,34335.07,21-12-2025
SKU10238,Epson Projector,Office Supplies,Vertex Solutions,Pune WH,444,159,120,483,57,47872.29,04-05-2025
SKU10239,Epson Projector,IT Equipment,,Bengaluru WH,128,232,382,-22,97,40119.55,11-08-2024
SKU10239,Dell Docking Station,IT Equipment,NextGen Systems,Mumbai WH,440,126,610,-44,30,45870.51,24-04-2024
SKU10241,Office Desk,Office Supplies,Global Traders,Pune WH,81,280,258,103,45,16473.07,16-06-2025
SKU10242,Office Desk,IT Equipment,Prime Supplies,Bengaluru WH,276,59,348,-13,46,22329.59,26-02-2024
SKU10243,APC UPS,Office Supplies,TechNova Pvt Ltd,Bengaluru WH,282,67,262,87,73,23172.68,11-11-2024
SKU10244,Dell Laptop,office supplies,Vertex Solutions,Bengaluru WH,420,11,202,229,52,3744.17,09-03-2025
SKU10245,Logitech Keyboard,IT Equipment,TechNova Pvt Ltd,Nagpur WH,226,32,277,-19,27,20502.46,18-05-2024
SKU10246,APC UPS,IT Equipment,,Mumbai WH,442,215,383,274,68,34168.24,08-11-2025
SKU10247,Dell Mouse,electronics,,Bengaluru WH,497,276,136,637,64,6454.62,16-08-2024
SKU10248,APC UPS,office supplies,,Bengaluru WH,477,1,23,455,58,19025.9,23-08-2024
